date and time reported,date observed,County,City,Habitat,firefly count (estimate)
06/16/2022 - 10:29am,6/15/2022,Uintah County,Jensen,Pasture/Wetland,25
08/13/2019 - 7:41am,8/13/2019,Grand,Moab,River,3
07/03/2018 - 11:42am,7/2/2018,USA,Spanish fork,Farm,5
07/08/2018 - 10:37pm,6/15/2018,USA,Spanish fork,Marsh,30
06/24/2015 - 11:54am,6/19/2015,UT,Orem,Outdoor Theater,
07/13/2015 - 1:11pm,6/30/2015,UT,Altamont,Lakeside,2
07/14/2015 - 8:35am,7/15/2010,UT,Kaysville,Marsh,1
05/29/2016 - 10:00pm,5/29/2016,UT,Springville,Wetland,2
05/29/2016 - 10:18pm,5/29/2016,UT,Mendon,marsh/pasture with cows - still some standing water,32
06/02/2016 - 6:10am,6/1/2016,UT,Mendon,Marsh / Pasture,40
06/07/2016 - 10:13am,6/6/2016,UT,Genola,marsh,30
06/11/2016 - 9:56am,6/10/2016,Ut,Kaysville,Back yard,
06/11/2016 - 12:03pm,7/15/2009,UT,Spanish Fork,Marshy pasture,1
07/30/2017 - 8:29pm,7/30/2017,UT,Salt Lake City,Suburb,
06/03/2018 - 4:35pm,6/27/1989,UT,Brigham,Sedges in lightly grazed pasture,
06/05/2018 - 11:54am,6/4/2018,UT,Brigham,"Two foot tall Kentucky Blue Grass, ungrazed pasture.",2
06/17/2018 - 5:54pm,6/16/2018,UT,Layton,Park,2
06/19/2018 - 11:15pm,6/19/2018,UT,OREM,Lawn,2
06/20/2018 - 9:50pm,6/20/2018,UT,Sandy,Back yard herb garden,1
06/22/2018 - 11:42pm,6/22/2018,UT,Mendon,Farm field,5
02/02/2019 - 1:45pm,6/6/2016,UT,FARMINGTON,Forest/farm,3
05/27/2019 - 6:55am,5/26/2019,UT,Spring Lake,Pasture,10
06/01/2019 - 11:33am,5/26/2019,UT,Orem,Pasture,4
06/07/2019 - 12:30pm,6/6/2019,UT,Spanish fork,Field,15
06/18/2019 - 11:52pm,6/18/2019,UT,Orem,Pasture,50
06/18/2019 - 11:54pm,6/18/2019,UT,Salem,Pasture,50
07/04/2019 - 11:44am,7/3/2019,UT,Spanish Fork,Pasture,6
05/29/2020 - 11:16pm,5/29/2020,UT,Spring Lake,Pasture and marshy area around the small lake,
05/30/2020 - 11:12am,5/29/2020,UT,Springville,Marsh,3
06/05/2020 - 8:10pm,6/1/2000,UT,Orem,"Garden tomatoes, strawberries, carrots. after watering the garden. lots of water. you would see them.",6
06/12/2020 - 10:25pm,5/30/2020,UT,Escalante,Desert,3
06/13/2020 - 4:19pm,6/13/2020,UT,Ogden,Riverside,10
06/19/2020 - 8:41am,6/12/2020,UT,Spanish Fork,Meadow hay fields,5
06/24/2020 - 12:35pm,6/23/2020,UT,Lehi,wetlands,4
07/11/2020 - 11:46pm,6/20/2020,UT,Nibley,marsh,1
07/16/2020 - 9:04am,6/10/2020,UT,West Haven,pasture,5
07/31/2020 - 7:07pm,7/30/2020,UT,Taylorsville,Riverside,2
06/05/2021 - 11:23am,6/4/2021,UT,Bluebell,Irrigated field with a pond below,5
06/06/2021 - 9:49pm,6/6/2021,ut,West Haven,pasture,15
06/08/2021 - 3:53am,7/27/2020,UT,Kamas,Farmland,2
07/02/2021 - 9:59pm,7/2/2021,UT,RIVERDALE,One firefly was spotted in our yard which is near the Weber River Parkway trail.,1
07/14/2021 - 2:35pm,6/28/2021,UT,Vernal,back yard abutting an open field with a marsh approximately 600 feet away,
04/21/2022 - 10:41am,4/20/2022,UT,Salt Lak City,City,5
06/13/2022 - 6:25am,6/10/2022,UT,Garden City,Marsh,3
06/15/2022 - 9:47pm,6/15/2022,UT,Springville,Marsh,1
06/21/2022 - 10:01pm,6/21/2022,UT,Randlett,Pasture,20
07/03/2022 - 8:21pm,6/18/2022,UT,Garden City,"Lake front house, tall grasses",7
07/04/2022 - 11:09am,5/5/1982,UT,Moab,Desert with water coming from the La Sal Mountains,3
07/12/2022 - 11:34am,7/8/2022,UT,WOODLAND,Pasture,2
06/04/2015 - 10:36pm,6/4/2015,UT - Utah,SALEM,Pasture/wetland,
11/25/2015 - 3:12am,11/25/2015,UT - UTAH,Centerville,"Residential, backyard",0
06/13/2020 - 6:41am,6/12/2020,UT - Utah,Santaquin,Marsh,3
05/21/2014 - 9:57am,5/20/2014,Utah,Goshen,Marsh,3
06/21/2014 - 1:10am,6/21/2014,Utah,santaquin,"Marshy,mostly less than ankle deep.",2
04/29/2015 - 10:19pm,6/15/2014,Utah,Layton,Wetland,
04/30/2015 - 7:13am,6/1/2014,Utah,Diamond Fork Canyon,By the river,2
04/30/2015 - 1:57pm,9/1/2014,Utah,Provo,Grass front yard,1
05/04/2015 - 10:06am,6/1/2014,Utah,Spring lake ut,"Marsh, pasture, lakeside",
06/09/2015 - 3:03pm,6/19/2014,Utah,Benjamin,None,
06/12/2015 - 3:35pm,6/12/2014,Utah,Highland,In the marshy gulley on the south side of the road..,5
07/12/2015 - 10:53pm,6/6/2015,Utah,Payson,Pasture Lakeside,5
07/12/2015 - 11:00pm,6/10/2015,Utah,Payson,Marshy pasture,5
07/13/2015 - 1:13am,6/27/2015,Utah,nibley,marsh,40
07/13/2015 - 5:15am,6/5/2015,Utah,Spring Lake,Pasture/wetland near the community lake,
07/13/2015 - 8:59am,5/22/2015,Utah,Outside Spanish Fork,Marsh,2
07/13/2015 - 9:22am,6/12/2015,Utah,Willard,Lake side willard bay campground next to marsh,10
08/06/2015 - 9:39pm,8/6/2015,Utah,salt lake city,City,
10/08/2015 - 11:09am,10/8/2015,Utah,Lehi,Backyard,
04/15/2016 - 11:11am,1/1/2000,Utah,salt lake city,forest,
06/02/2016 - 5:43am,6/1/2016,Utah,Spring Lake,Pasture,
06/09/2016 - 10:09pm,6/9/2016,Utah,Lehi,Field,2
06/14/2016 - 2:29pm,6/7/2016,Utah,Spring Lake,Marsh,20
06/21/2016 - 4:32pm,6/20/2016,Utah,Park City,wetland,2
05/31/2017 - 9:57pm,5/31/2017,Utah,NEOLA,Irragated pasture,30
05/31/2017 - 10:56pm,5/30/2017,Utah,Spring lake,Flying from tall grass stalk to tall grass,6
05/31/2017 - 10:56pm,5/30/2017,Utah,Spring lake,Flying from tall grass stalk to tall grass,6
06/02/2017 - 8:49pm,5/26/2017,Utah,Highland,Marsh/wetland hollow,
06/05/2017 - 2:46pm,5/4/2017,Utah,Springville,wetland,1
06/05/2017 - 2:53pm,6/3/2017,Utah,Highland,wetland,2
06/27/2017 - 6:35pm,6/26/2017,Utah,PARK CITY,near Swaner Preserve: marsh and fields,2
07/03/2017 - 11:45pm,7/3/2017,Utah,Lehi,Marsh,4
07/13/2017 - 9:27pm,6/18/2017,Utah,Lehi,"Marsh, wetland",3
07/31/2017 - 8:57am,6/17/2017,Utah,Lehi,Neighborhood,
04/19/2018 - 6:50pm,6/5/2016,UTAH,Duchesne,Wetland,3
05/25/2018 - 4:10pm,2/4/2018,Utah,Provo,Farm,2
05/28/2018 - 12:00am,5/27/2018,Utah,Genola,Marsh,1
06/07/2018 - 8:11am,6/6/2018,Utah,Spring Lake,"Marsh, Wetlands",20
06/08/2018 - 12:52pm,6/4/2018,Utah,Spanish Fork,Farm/Meadow,76
06/08/2018 - 1:02pm,6/6/2018,Utah,Spanish Fork,Damp and marshy field,50
06/08/2018 - 1:26pm,6/6/2018,Utah,Spanish Fork,"Farm, pasture",20
06/08/2018 - 2:07pm,6/6/2018,Utah,Spanish Fork,Marshy pasture,100
06/08/2018 - 3:22pm,6/4/2018,Utah,Spanish Fork,Marsh farm,50
06/08/2018 - 4:00pm,6/7/2018,Utah,Spanish fork,"Pasture, wetland",2
06/08/2018 - 6:12pm,6/1/2018,Utah,Spanish fork,Hay field,3
06/08/2018 - 11:58pm,6/7/2018,Utah,Spanish Fork,Farm pasture,3
06/09/2018 - 8:32pm,6/7/2018,Utah,Springville,Wetland preserve,5
06/10/2018 - 4:42pm,6/9/2018,Utah,Utah,Marshy grass,2
06/11/2018 - 9:53am,6/7/2018,Utah,Spanish Fork,Farm,300
06/11/2018 - 10:24am,6/9/2018,Utah,Spanish fork,Wetland fields,100
06/13/2018 - 9:43pm,6/13/2018,Utah,Springville,Swamp,20
06/14/2018 - 11:15pm,6/14/2018,Utah,Spanish Fork,Marshy hay field,100
06/14/2018 - 11:15pm,6/14/2018,Utah,Spanish Fork,Marshy hay field,100
06/16/2018 - 3:58pm,6/15/2018,Utah,Spanish Fork,Farm,2
06/17/2018 - 11:08am,6/16/2018,Utah,Springville,Marsh,5
06/22/2018 - 11:48pm,6/22/2018,Utah,Payson,Marsh/wetlands,4
07/08/2018 - 11:29am,7/6/2018,Utah,Spanish Fork marshy field,Marsh field,1
07/09/2018 - 5:45am,7/7/2018,Utah,Spanish Fork,Pasture with natural spring,3
07/10/2018 - 6:06am,6/28/2018,Utah,Spanish Fork,Pasture with natural spring,5
07/17/2018 - 10:40pm,7/14/2018,Utah,Salem,Marsh/Pasture mix,1
06/07/2019 - 1:57pm,6/5/2019,Utah,Spanish Fork,Pasture,15
06/10/2019 - 11:03pm,6/10/2019,Utah,Legi,Marsh,6
06/11/2019 - 10:49pm,6/11/2019,Utah,Lehi,Wetlands,6
06/12/2019 - 3:00pm,6/10/2019,Utah,Spanish Fork,Tall grass/field with water close,10
06/13/2019 - 5:34pm,6/12/2019,Utah,Springville,Marsh,30
06/14/2019 - 11:38pm,6/14/2019,Utah,Springville,wetlands (cattails),8
06/17/2019 - 12:13pm,6/16/2019,Utah,Springville,"cattails, marsh at Spring Creek.",5
07/03/2019 - 12:07am,7/2/2019,Utah,Spanish Fork,Pasture,15
07/09/2019 - 2:05pm,7/8/2019,Utah,Spanish Fork,Pasture,5
07/13/2019 - 10:10pm,7/12/2019,Utah,Springville,Wetland,5
07/18/2019 - 8:31pm,7/17/2019,Utah,Salem,Pasture,5
07/20/2019 - 9:22am,6/20/2018,Utah,Lehi,Wetland,5
05/23/2020 - 6:29pm,5/22/2020,Utah,Springville,marsh,1
05/29/2020 - 10:36am,5/28/2020,UTAH,Salt Lake City,"Neighbors' back yard, tall grass",25
05/31/2020 - 7:45am,5/27/2020,Utah,Salem,Pasture,25
06/11/2020 - 1:21pm,6/5/2020,Utah,Spring Lake,"marsh, reeds and cattails.",6
06/18/2020 - 10:40pm,6/18/2020,Utah,Spanish Fork,Riverbank,15
06/28/2020 - 3:02pm,6/18/2020,Utah,Spanish Fork,Wetland/Farm area,14
06/29/2020 - 10:39am,6/27/2020,Utah,Lehi,Marsh,2
07/10/2020 - 11:58pm,7/10/2020,Utah,Park City,Field,3
07/27/2020 - 10:57am,7/25/2020,Utah,Spring Lake,Horse pasture near Spring Lake,1
08/03/2020 - 8:59pm,8/3/2020,Utah,Spanish fork,"grass, residential area",4
05/26/2021 - 1:19pm,5/25/2021,Utah,Salem,Pasture,30
05/26/2021 - 1:24pm,5/25/2021,Utah,Spring Lake,pasture,10
06/04/2021 - 10:37pm,6/4/2021,Utah,Spring Lake,Pond side,25
06/06/2021 - 12:08am,6/5/2021,Utah,Spring Lake,Spring Lake,4
06/07/2021 - 2:23pm,6/4/2021,Utah,Nibley,Wetland,5
06/18/2021 - 9:22am,6/17/2021,Utah,Lehi,Residential,
07/02/2021 - 12:26pm,7/1/2021,Utah,Salem,Wetland,5
02/15/2022 - 4:30pm,5/15/2021,Utah,Payson,"Marsh, pasture, farm, lake",4
06/18/2022 - 1:11am,6/17/2022,Utah,Salt Lake City,Marsh,10
06/18/2022 - 9:46pm,6/8/2022,Utah,Springville,Wetland,40
06/18/2022 - 9:46pm,6/8/2022,Utah,Springville,Wetland,40
06/21/2022 - 12:06pm,6/21/2022,Utah,Lehi,Wetland,50
06/21/2022 - 11:31pm,6/21/2022,Utah,Lehi,Wetland,12
07/03/2022 - 8:26pm,7/10/1985,Utah,Springville,Orchard,1
07/03/2022 - 8:28pm,9/22/2020,Utah,Ephraim,Residential grass and bushes,4
07/03/2022 - 9:52pm,6/6/2022,Utah,Warren,Pasture,3
07/04/2022 - 9:41am,6/10/2012,Utah,Farr West,"Abandoned Urban farmland along a large canal, with small creeks within half a mile of either side of the fields we saw them in.",5
07/04/2022 - 10:18am,6/1/1976,Utah,Provo,Wetland by Utah lake,3
07/04/2022 - 10:45am,6/23/2022,Utah,Spring Lake,Lake side,2
07/04/2022 - 1:53pm,7/2/2016,Utah,Manila,Carmel campground,5
06/23/2016 - 11:21pm,6/23/2016,Utah ,Salem,Marsh and pasture,50
07/02/2019 - 9:29am,7/1/2019,Utah County,Spanish Fork,"Farm, pasture, marsh",2
06/28/2019 - 2:39am,6/26/2019,Victor,Idaho Falls,Wetland,1
06/09/2022 - 10:16pm,6/9/2022,Was arch County,Outside Heber City on the Provo River,Next to the river and marshy areas,30
07/04/2014 - 11:53pm,7/4/2014,Wasatch,Heber,Pasture,2
04/29/2015 - 9:25pm,7/4/2014,Wasatch,Heber City,Pasture,
04/30/2015 - 5:34pm,2/1/2015,Wasatch,Francis,On river bank,
06/11/2015 - 11:18am,6/10/2015,Wasatch,Midway,Wetland,15
06/18/2015 - 10:58pm,6/18/2015,Wasatch,midway,grassy wetland,4
06/23/2015 - 11:38pm,6/23/2015,wasatch,heber,very large open fields,1
07/10/2015 - 11:00am,7/4/2015,Wasatch,Heber,Pasture,0
07/12/2015 - 11:13pm,7/4/2015,Wasatch,Heber,Wetland,
07/13/2015 - 6:30am,6/25/2015,Wasatch,wallsburg,wetland,5
07/13/2015 - 6:30am,6/25/2015,Wasatch,wallsburg,wetland,5
09/15/2015 - 12:18pm,7/18/2006,Wasatch,Heber City,This is off of the Provo River. Pasture with marshy areas.,2
06/29/2016 - 9:09am,6/28/2016,Wasatch,Midway,Marsh / Farm,20
06/29/2016 - 9:15am,6/28/2016,Wasatch,Between Miday and Heber,Marsh / Pasture,5
06/29/2016 - 9:22am,6/28/2016,Wasatch,Between Midway and Heber,Pasture,5
07/04/2016 - 11:12pm,7/4/2016,Wasatch,Midway,Wetlands/field pasture,3
07/05/2016 - 7:46am,7/4/2016,Wasatch,Heber city,Wetland,
07/05/2016 - 7:46am,7/4/2016,Wasatch,Heber city,Wetland,
06/23/2017 - 8:06pm,7/16/2002,Wasatch,Midway,Marsh,
06/03/2018 - 10:01pm,5/31/2018,WASATCH,Heber City,Pasture/wetland,2
06/21/2018 - 10:14pm,6/21/2018,Wasatch,Heber,Field,2
04/27/2019 - 11:02pm,6/3/1996,Wasatch,Wallsburg,"Our country property farm, irrigation ditch",
04/27/2019 - 11:02pm,6/3/1996,Wasatch,Wallsburg,"Our country property farm, irrigation ditch",
07/06/2019 - 10:18pm,7/5/2019,Wasatch,Heber,Marshland,
06/05/2020 - 9:34pm,6/3/2020,Wasatch,Midway,Garden wetland,2
06/15/2020 - 11:57pm,6/15/2020,Wasatch,Midway,"Edge of pasture, with small stream running through",3
06/20/2020 - 8:29am,6/19/2020,Wasatch,Midway,Marsh,6
06/13/2021 - 12:09am,6/12/2021,Wasatch,Charleston,Meadow beside river,1
06/14/2021 - 8:22am,6/13/2021,Wasatch,Midway,"Backyard, near stream",3
06/18/2021 - 9:45pm,6/15/2021,Wasatch,Midway,"Lawn, wetland is close",2
06/23/2021 - 11:24pm,6/23/2021,Wasatch,Charleston,Emergent wetland,1
06/11/2022 - 10:37pm,6/11/2022,Wasatch,Kamas,Wetland,3
06/13/2022 - 8:54pm,6/11/2022,Wasatch,Heber City,River with surrounding swamps,200
07/04/2022 - 1:03am,8/1/2000,Wasatch,Midway,Grassy Field,5
07/04/2022 - 1:11am,7/4/2016,Wasatch,Heber City,Wetland pasture,2
07/05/2022 - 7:26pm,6/17/2022,Wasatch,Midway,pastures near creek,4
06/23/2017 - 7:02pm,6/11/2017,Wasatch ,Midway ba,Rural town,6
06/14/2019 - 10:10pm,6/14/2019,Wasatch county,Charleston,Marsh/ fields near river and lake,5
06/22/2014 - 10:49am,6/21/2014,Washington,Leeds,"Mountain Creek, marshy, Birch, Alder, Maple, Oak, Ponderosa",
06/29/2014 - 11:58am,6/28/2014,Washington,Pine Valley,Ponderosa forest along creek.,1
07/14/2016 - 12:37pm,5/17/2015,Washington,Springdale,Riverside,0
05/01/2017 - 8:47pm,5/1/2017,Washington,Virgin,High Desert. With many planted trees,1
06/17/2021 - 11:00pm,6/6/2021,Washington,Leeds,"Forest, near creek",
04/26/2019 - 8:54am,4/23/2019,Wayne County,Hanksville,Was in a wash,1
04/29/2015 - 10:53pm,7/16/2014,Weber,Eden,Riverside,10
04/30/2015 - 12:01pm,5/28/2014,Weber,Farr West,Wetlands next to Alfalfa field,
07/12/2015 - 10:35pm,7/2/2015,Weber,West Weber,Pasture/wetland,1
07/12/2015 - 11:25pm,7/3/2015,Weber,Riverdale,Drive Inn,1
07/13/2015 - 12:27am,7/12/2015,Weber,Riverdale,Close to river,3
07/13/2015 - 3:32pm,6/5/2015,Weber,Huntsville,Wetland and pasture,4
08/18/2015 - 12:13pm,7/10/2015,Weber,Layton,raspberries in my garden,4
09/19/2015 - 1:31am,9/18/2015,Weber,Riverdale,"urban, near farm land",7
09/27/2015 - 8:19pm,9/27/2015,Weber,Ogden,Backyard,
05/09/2016 - 11:52pm,5/30/2015,Weber,Harrisville,Marsh around fair grounds,
06/03/2016 - 10:15pm,6/3/2016,Weber,Marriott-slaterville,Irrigation pond with reeds,10
06/20/2016 - 10:13pm,6/20/2016,Weber,Riverdale,Urban,10
07/04/2016 - 5:16pm,7/3/2016,Weber,Ogden canyon,Forest,4
07/30/2016 - 10:21pm,7/30/2016,Weber,Willard Bay,Lakeside,
06/03/2017 - 10:00pm,6/1/2017,Weber,Plain City,Wetland,8
06/06/2017 - 11:47pm,6/6/2017,Weber,Farr west,Wetland,20
06/17/2017 - 3:32pm,6/16/2017,Weber,Warren,"Farm Land, 1 acre home site",3
06/24/2017 - 8:31am,6/24/2017,Weber,Ogden,"Fields surround our home, hay and corn, small herd of cows and goats",3
05/26/2018 - 8:26am,5/25/2018,Weber,West Haven,Marsh/pasture,5
06/10/2018 - 12:14am,6/9/2018,Weber,West Haven,Pasture,3
06/27/2018 - 7:42pm,6/26/2018,Weber,West haven,Front yard,6
06/12/2019 - 9:49pm,6/12/2019,Weber,Marriott slaterville,Irrigation ponds,40
06/18/2019 - 10:11pm,6/18/2019,Weber,Taylor,Grass pasture,2
06/23/2019 - 10:32pm,6/23/2019,Weber,Plain City,Wetland,20
08/12/2019 - 11:06pm,6/23/2019,Weber,Pleasantview,Field,1000
06/04/2020 - 11:23pm,6/4/2020,Weber,Plain City,Grass Yard,1
06/30/2020 - 9:04pm,6/27/2020,Weber,Causey Reservoir,Marsh,2
07/05/2020 - 1:28pm,5/29/2020,Weber,Plain City,marsh / swamp,3
06/15/2021 - 11:05pm,6/15/2021,Weber,Huntsville,Edge of Beaver Creek.,2
06/29/2022 - 9:41pm,6/10/2022,Weber,Harrisville,Marsh/ field,15
07/05/2022 - 4:25pm,6/22/2022,Weber,Taylor,Tall grass,5
07/17/2022 - 3:45pm,6/16/1987,Weber,Pleasant View,Marshy Field,2
07/13/2015 - 12:23pm,6/10/2015,"White Pine Co., NV",Great Basin NP,forest,
07/03/2019 - 11:10am,6/29/2019,"White Pine, Nevada","Baker, Nevada",Wetland full of rushes,4
,,,,,
04/30/2015 - 4:57pm,4/30/2014,,Near Hanna Utah,Along the duchene river,
04/30/2015 - 5:28pm,2/1/2015,,Hanna,Side of road in some brush near pasture,
05/31/2015 - 2:01am,5/30/2015,,Spanish Fork,River and grassy field,5
06/02/2015 - 9:29am,5/9/2015,,Ivans,red rock desert,4
06/12/2015 - 8:00pm,6/12/2015,,Riverton,Backyard tree,
06/13/2015 - 5:22pm,6/10/2015,,SpringLake,Marsh,8
06/19/2015 - 10:50pm,6/19/2015,,West Valleh City,Movie theater,6
07/09/2015 - 8:49pm,7/19/2014,,"corrine,utah",marshy pasture next to bear river,50
07/12/2015 - 9:47pm,7/4/2015,,Park City,Backyard,
07/12/2015 - 10:59pm,6/27/2015,,Taylorsville,Residential neighborhood,
07/12/2015 - 11:30pm,7/4/2015,,near thistle,marsh,10
07/13/2015 - 11:42am,6/6/2015,,Heber,middle Provo river,1
07/13/2015 - 2:03pm,6/13/2015,,Heber,"Marsh, right off the middle section of the Provo river",7
07/13/2015 - 2:54pm,7/11/2015,,Park City,stream,2
07/13/2015 - 4:13pm,6/26/2015,,Red canyon campground outside of Bryce national park,Forrest ish,
09/18/2015 - 12:14pm,5/31/2009,,Escalante,Along the river that cut Coyote Gulch,2
05/04/2016 - 1:18pm,2/4/2012,,Brown Town,marsh,2
05/13/2016 - 9:54am,6/14/1996,,Brigham City,Marsh/pasture,
06/07/2016 - 3:45pm,9/23/2011,,Kanab,"Desert, near Lake Powell, rocks & brush",
06/11/2016 - 11:45pm,6/11/2013,,Heber,Swampy area near side of road,25
06/19/2016 - 11:30pm,6/8/2016,,Lake Powell,"110°55'4.32""W",6
07/05/2016 - 10:43am,6/22/2016,,Pagosa Springs (COLORADO--sorry!),wet meadow/pasture,1
06/25/2019 - 11:54pm,6/25/2019,,Marriott slaterville,Irrigation ponds,30
06/04/2020 - 11:06pm,6/4/2020,,Pleasant View,Pasture,15
06/12/2020 - 10:11pm,6/12/2020,,Midway,Marsh,4
06/13/2020 - 1:55pm,6/12/2020,,Logan,marsh with tall grass,7
06/21/2020 - 1:50pm,6/20/2020,,Garden city,Marsh,4
06/26/2020 - 2:19am,6/9/2020,,Logan,wetland,5
06/29/2020 - 4:18pm,6/25/2020,,Hanna,Stream in the forest,20
07/05/2020 - 9:50am,7/4/2020,,Avon,Wetlands,
07/06/2020 - 5:21pm,6/26/2020,,Spring Lake,Horse pasture on the East side of Spring Lake.,
07/29/2020 - 2:09pm,6/26/2020,,Park City,Swaner Nature Preserve,2
06/13/2021 - 3:29pm,6/1/2018,,Park City,Riparian,2
04/11/2022 - 5:39pm,3/31/2022,,Moab,Next to the banks for the Green River,1
06/08/2022 - 6:15am,6/7/2022,,Panguitch Lake,Forest,
06/11/2022 - 10:29pm,6/11/2022,,Garden City,Lakeside,4
07/03/2022 - 9:39pm,8/4/1995,,Garden city,Wet marsh land next to Bear lake,1
07/07/2022 - 4:58pm,6/3/2022,,Mendon,"Grassy field, near wet areas",
07/17/2022 - 1:30pm,7/3/2022,,Park City,Marsh,5
05/09/2023 23:49:59,5/9/2023 18:00,woodland area over by Utah State University!,Cache,from my BIO professor!,
06/03/2023 4:30:24,6/2/2023 18:00,Pasture,Uintah,A presentation,
06/04/2023 5:26:42,6/3/2023 18:00,Wetlands,Utah,Google search,
06/06/2023 6:39:44,6/6/2023 18:00,Pasture,Uintah,Online,
06/08/2023 1:10:26,7/1/1986 18:00,Dry. Near juniper trees,Juab,Local newspaper,
06/08/2023 16:32:25,6/7/2023 18:00,Marshy grassland in a suburban park area.,Cache,internet search,
06/15/2023 15:05:25,6/9/2023 18:00,"We saw them on the north west edge of Remember the Maine Park. There were maybe 6 to 10 of them. They were in a very wet area with lots of bushes and tall grass, possibly used as a pasture at times. We observed them from the road in the park and also from the Dry fork road. They were flying low and also up above us at times. I did not count blinks per 10 seconds but will go back and do so. I had to add a number in order to submit this so disregard the 5.",Uintah,I work for the USFS and we are doing sightings as part of my job.,
06/15/2023 15:21:32,6/9/2023 18:00,"We were seeing about 50 fire flies at a DWR Old Fort Ponds/ Fort Thornburgh. The park is closed at 9 pm but we got permission to walk in there. The fireflies were down in a wet meadow east of the man made fishing ponds. Going back in the daytime there were maybe a dozen horses in the same area. I believe the fireflies are on private property behind a fence. Some did come flying around us. WE did not counts blinks but will return and do so, please disregard the number I put in the blinks.",Uintah,"USFS employee, part of my job to count",
06/15/2023 15:48:06,6/9/2023 18:00,"This location is on private land and is irrigated pasture but can easily be viewed from the road, please do not post exact location. This sight has been visited several times in June by myself and other USFS, DWR, and NPS biologists, as far as I know no one else has reported the sightings. from June 1, and 2nd. We could see 50-75 fireflies on the west side of the road in tall grass and about 25 on the east side. There was a house to the north east with many lights on preventing good viewing in that direction. One biologist said she counted one firefly that did 3 blinks at a time, not sure it was in a 10 second period.",Uintah,USFS employee,
06/16/2023 4:26:08,6/15/2023 18:00,Grassy field,Sevier,Instagram,
06/18/2023 20:19:32,6/17/2023 18:00,It was along a dirt trail where there was some wet marsh and heavy bushes.,Weber,Googled fireflies in utah after seeing them,
06/19/2023 12:37:16,6/18/2023 18:00,Backyard,Wasatch,Stumbled upon it,
06/20/2023 0:53:41,6/18/2023 18:00,"Pasture near irrigation canal. In Utahn, 6 miles north of Duchesne Utah",Duchesne,Looking up fireflies in Utah article.,
06/20/2023 4:02:31,6/19/2023 18:00,Pasture,Uintah,A presentation,
06/20/2023 4:04:00,6/9/2023 18:00,pasture (wet),Weber,On the news a few years ago and recently received an email,
06/25/2023 13:18:28,6/23/2023 18:00,Stream bed area with lots of green willow type bushes. Lots of frogs and tadpoles in the area.,Kane,Online,2
06/27/2023 18:12:53,6/23/2023 18:00,Natural Spring that is in a wash has marshy patches near it. It has a hillside on one side and that's where we saw them the most.,Garfield,Just when looking if there were fireflies in utah,3
06/28/2023 4:02:47,6/27/2023 18:00,"Marshy cold open wet and some willow trees, cow pasture type beat",Wasatch,I looked up why I was seeing a FIREFLY in utah,5
06/28/2023 5:19:30,6/27/2023 18:00,Near wetlands in Burghi Hill Park in Midway. There were multiple but not a lot. Intermittent lighting up.,Wasatch,Search on internet for fireflies in utah after sighting,5
06/30/2023 2:17:37,6/28/2023 18:00,Lakeside,Rich,Internet,5
06/30/2023 22:43:02,6/20/1987 18:00,Farm land area adjacent to wet meadows,Juab,From an interested local homeowner.,
07/02/2023 5:31:17,7/1/2023 18:00,Farm located next to a small lake,Utah,Online search,5
07/04/2023 4:37:05,7/3/2023 18:00,Pasture / marshland,Summit,Online search to identify Utah fireflies,10
07/04/2023 6:00:19,7/3/2023 18:00,Wetlands,Summit,Online search,3
07/11/2023 20:59:42,7/8/2023 18:00,The sighting was in a field about 1/4 of an acre with a river about 20 wide running next to it. The field was filled mostly with 3 ft. tall grass and small scrub plants. The vegetation and ground were both damp. There was a small cluster of trees separating the field from the road on the opposite side of the river. The temperature was mid 60's F.,Wasatch,I designed the map,10
07/12/2023 4:57:19,7/11/2023 18:00,large grassland at Firefly Park,Cache,USU biology course,2
07/12/2023 19:52:35,7/11/2023 18:00,Wet meadows near Beaver creek,Summit,"I've been submitting data for some years now, can't remember original source?",5
07/13/2023 16:23:46,7/12/2023 18:00,Wet Meadow pasture,Summit,friend,3
07/16/2023 3:36:34,7/8/2023 18:00,It was in the logan canyon. I spent about an hour looking for some. There were only a few near trees that were away from the river. It felt moist outside so I don't know if that effects their presence.,Cache,From my Biology class,2
03/27/2024 21:43:35,6/15/2019 18:00,Marsh,Duchesne,Instagram,2
04/15/2024 7:25:23,4/1/2024 19:00,River Wash,Emery,Research on Google,5
05/20/2024 5:28:59,7/19/2017 18:00,Pasture could have been wetland. I didn’t walk out into it,Wasatch,Googling firefly maps,2
05/28/2024 4:03:49,5/27/2024 18:00,Forest near creek,Uintah,KSL,6
06/02/2024 20:00:13,5/30/2024 18:00,We were hiking and camping in the Coyote Gulch area. We saw this lone lightning bug at an area close to the end of the gulch and close to the Escalante river.,Garfield,google search,6
06/03/2024 4:41:05,6/2/2024 18:00,"Marsh or wetlands, possibly protected since there was a fence with barbed wire.",Utah,I learned about this project about 10 years ago online.,10
06/03/2024 23:42:23,7/3/1998 18:00,Pasture,Duchesne,Facebook,2
06/04/2024 4:55:15,6/3/2024 18:00,"Pasture,lake",Utah,Online,3
06/09/2024 4:18:44,6/8/2024 18:00,Wetland,Cache,,1
06/09/2024 18:38:36,6/4/2024 19:00,Creekside along canyon wall with natural seeps and riparian bushy/tree vegetation.,Kane,Facebook,5
